제품,제품특성
B002-02059-00001,"제품유형:일반식품 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):해당 없음 콜라겐 펩타이드:600mg 종류:어류 섭취대상:성인남녀 제품타입:구미/젤리 제품용량_A섭취횟수:2개월분 1일 총 섭취량:하루 한 번 섭취방법:1포 :씹어서, 제품용량_A:1개월분 1.2 20g x  60포"
B002-02059-00002,HCA:777mg 영양소 원료명(식약처고시):비타민C 1일 총 섭취량:2정 제품타입:정 섭취횟수:하루 두 번 섭취방법:물과 함께 :1개 112정
B002-01113-00001,주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):나이아신 영양소 원료명(식약처고시):판토텐산 제품타입:정 제품용량:28일분 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1정 섭취방법:물과 함께 :1개 28정
B002-01113-00002,"주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):비타민A 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):비오틴 제품타입:분말 제품용량:7일분 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:2포 섭취방법:물에 섞어서 :1개, 제품타입:분말 섭취방법:물에 섞어서 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:2포 제품용량:14일분 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):비타민A 영양소 원료명(식약처고시):비타민E 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):비오틴 :1개 2g x 14포"
B002-00245-00003,"제품유형:건강기능식품 주요 기능성(식약처인증):피부건강 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):비오틴 영양소 원료명(식약처고시):셀레늄(셀렌) 영양소 원료명(식약처고시):단백질 콜라겐 펩타이드:30mg 섭취대상:성인남녀 제품타입:정 제품용량:28일분 섭취횟수:하루 한 번 1일 총 섭취량:2정 섭취방법:물과 함께 :1개, 제품유형:건강기능식품 주요 기능성(식약처인증):피부건강 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):비오틴 영양소 원료명(식약처고시):셀레늄(셀렌) 영양소 원료명(식약처고시):단백질 콜라겐 펩타이드:30mg 종류:어류 분자량:285Da 섭취대상:성인남녀 제품타입:정 제품용량:42일분 섭취횟수:하루 한 번 1일 총 섭취량:2정 섭취방법:물과 함께 :1개 6주 750mg x 84정"
B002-00245-00005,제품유형:건강기능식품 주요 기능성(식약처인증):피부건강 영양소 원료명(식약처고시):비오틴 영양소 원료명(식약처고시):단백질 콜라겐 펩타이드:30mg 섭취대상:성인남녀 제품타입:분말 제품용량:6개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:바로 음용 :3개 3g x 30포
B002-00245-00007,제품유형:건강기능식품 주요 기능성(식약처인증):피부건강 영양소 원료명(식약처고시):비오틴 영양소 원료명(식약처고시):단백질 콜라겐 펩타이드:30mg 섭취대상:성인남녀 제품타입:분말 제품용량:6개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:바로 음용 :3개 3g x 10포
B002-00245-00010,영양소 원료명(식약처고시)_A콜라겐 펩타이드:비타민C 섭취대상:1000mg 제품타입:성인남녀 제품용량:정 섭취횟수:28일분 1일 총 섭취량:하루 한 번 섭취방법:3정 :물과 함께 620mg x 84정
B002-01531-00001,제품유형:일반식품 종류:어류 분자량:1000Da 섭취대상:성인남녀 제품타입:구미/젤리 제품용량:14일분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:씹어서 :1개 20g x 14포
B002-01531-00002,제품유형:일반식품 종류:어류 섭취대상:성인남녀 제품타입:분말 제품용량:1개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:바로 음용 :1개 2g x 30포
B002-01531-00003,제품유형:일반식품 종류:어류 섭취대상:성인남녀 제품타입:분말 제품용량:1개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:바로 음용 :1개 2g x 30포
B002-01531-00006,제품유형:일반식품 주요 기능성(식약처인증):해당 없음 영양소 원료명(식약처고시):비타민A 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):비오틴 콜라겐 펩타이드:1000mg 종류:어류 분자량:1000Da 섭취대상:성인남녀 제품타입:분말 제품용량:1개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:바로 음용 :1개 2g x 30포
B002-01531-00009,"제품유형:일반식품 종류:어류 섭취대상:성인남녀 제품타입:구미/젤리 제품용량:14일분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:씹어서 :1개, 제품유형:일반식품 주요 기능성(식약처인증):해당 없음 영양소 원료명(식약처고시):해당 없음 콜라겐 펩타이드:1000mg 종류:어류 분자량:1000 섭취대상:성인남녀 제품타입:구미/젤리 제품용량:14일분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:씹어서 :1개 20g x 14포"
B002-01531-00010,"주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):나이아신 영양소 원료명(식약처고시):판토텐산 제품타입:정 제품용량:14일분 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1정 섭취방법:물과 함께 :1개, 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):나이아신 영양소 원료명(식약처고시):판토텐산 제품타입:정 제품용량:28일분 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1정 섭취방법:물과 함께 :1개, 영양소 원료명(식약처고시)_A영양소 원료명(식약처고시)_A영양소 원료명(식약처고시)_A영양소 원료명(식약처고시)_A영양소 원료명(식약처고시)_A영양소 원료명(식약처고시)_A영양소 원료명(식약처고시)_A:비타민A 850mg x 14정"
B002-01621-00001,주요 기능성(식약처인증):장건강 영양소 원료명(식약처고시):식이섬유 제품타입:분말 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:2포 제품용량:15일분 식이섬유:7.8g :1개 6g x 30포
B002-01621-00002,"제품유형:일반식품 종류:어류 분자량:1000Da 섭취대상:성인남녀 제품타입:액상 제품용량:7일분 섭취횟수:하루 한 번 1일 총 섭취량:1개 섭취방법:바로 음용 :1개, 제품유형:일반식품 종류:어류 분자량:1000Da 섭취대상:성인남녀 제품타입:액상 제품용량:6일분 섭취횟수:하루 한 번 1일 총 섭취량:1개 섭취방법:바로 음용 :3개 12000 30ml x 7개입"
B002-03051-00001,HCA:760mg 1일 총 섭취량:2정 제품용량:56일분 제품타입:정 섭취횟수:하루 두 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개 900mg x 112정
B002-03051-00002,"제품유형:일반식품 영양소 원료명(식약처고시)_A종류:비타민C 분자량:어류 섭취대상:500~2500 제품타입:성인남녀 제품용량:분말 섭취횟수:3개월분 1일 총 섭취량:하루 한 번 섭취방법:1포 :바로 음용, 제품유형:일반식품 영양소 원료명(식약처고시)_A영양소 원료명(식약처고시)_A종류:비타민C 분자량:비오틴 섭취대상:어류 제품타입:500Da 제품용량:성인남녀 섭취횟수:분말 1일 총 섭취량:1개월분 섭취방법:하루 한 번 :1포 2g x 90포"
B002-03051-00003,주요 기능성(식약처인증):장건강 영양소 원료명(식약처고시)_A제품타입:식이섬유 섭취방법:분말 섭취대상:물과 함께 섭취횟수:성인남녀 1일 총 섭취량:하루 한 번 제품용량:1포 식이섬유:1개월분 :4g 4.8g x 30포
B002-03366-00001,"HCA:1000mg 영양소 원료명(식약처고시):해당 없음 1일 총 섭취량:2정 제품용량:56일분 제품타입:정 섭취횟수:하루 두 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개, 영양소 원료명(식약처고시):비타민A 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):나이아신 1일 총 섭취량:4정 제품용량:28일분 제품타입:정 섭취횟수:하루 두 번 섭취방법:물과 함께 주요 기능성(식약처인증):체지방 감소 :1개, HCA:750mg 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):판토텐산 1일 총 섭취량:2포 제품용량:15일분 제품타입:분말 섭취횟수:하루 두 번 섭취방법:물에 섞어서 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개, HCA:750mg 1일 총 섭취량:2포 섭취횟수:하루 한 번 섭취방법:물에 섞어서 주요 기능성(식약처인증):체지방 감소 :1개, HCA:750mg 섭취횟수:하루 한 번 섭취방법:물에 섞어서 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개, HCA:750mg 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):나이아신 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):비오틴 1일 총 섭취량:2정 제품용량:2개월분 제품타입:정 섭취횟수:하루 한 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 1000 112정"
B002-03366-00002,제품타입:분말 섭취방법:물에 섞어서 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1포 제품용량:14일분 :1개 25g x 14포
B002-03366-00003,단백질성분:분리대두단백질(ISP) 단백질:8g 섭취대상:성인남녀 맛:초코 1일 총 섭취량:1포 섭취횟수:하루 한 번 제품용량:14일분 :1개 25g x 14포
B002-03366-00004,"제품타입:분말 섭취방법:물에 섞어서 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1포 제품용량:14일분 :1개, 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):비타민A 영양소 원료명(식약처고시):비타민E 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):나이아신 영양소 원료명(식약처고시):엽산 영양소 원료명(식약처고시):칼슘 영양소 원료명(식약처고시):마그네슘 영양소 원료명(식약처고시):철 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):단백질 단백질종류:식물성 단백질:8g 섭취대상:성인남녀 맛:초코 섭취방법:물에 섞어서 1일 총 섭취량:1포 섭취횟수:하루 한 번 제품용량:개인별 다름 :1개, 단백질성분:분리대두단백질(ISP) 단백질:8g 섭취대상:성인남녀 맛:초코 1일 총 섭취량:1포 섭취횟수:하루 한 번 제품용량:14일분 :1개, 단백질:8g 섭취대상:성인남녀 1일 총 섭취량:1포 섭취횟수:하루 한 번 제품용량:14일분 :1개, 단백질종류:동물성+식물성 단백질:8g 섭취대상:성인남녀 맛:우유 제품용량:개인별 다름 :1개, 제품타입:분말 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1포 제품용량:14일분 25g"
B002-03366-00005,제품타입:정 섭취방법:물과 함께 섭취횟수:하루 한 번 1일 총 섭취량:2정 제품용량:1개월분 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):나이아신 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):철 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):구리 영양소 원료명(식약처고시):요오드 영양소 원료명(식약처고시):망간 :1개 60정
B002-03366-00009,"HCA:750mg 섭취횟수:하루 한 번 섭취방법:물에 섞어서 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개, HCA:750mg 1일 총 섭취량:2포 섭취횟수:하루 한 번 섭취방법:물에 섞어서 주요 기능성(식약처인증):체지방 감소 :1개 90포"
B002-03366-00010,"영양소 원료명(식약처고시)_A:비오틴, 제품유형:일반식품 영양소 원료명(식약처고시)_A종류:비오틴 분자량:어류 섭취대상:500Da 제품타입:성인남녀 제품용량:분말 섭취횟수:2개월분 1일 총 섭취량:하루 한 번 섭취방법:1포 :물과 함께 800mg x 60정"
B002-03366-00011,"제품타입:캡슐 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:2캡슐 제품용량:15일분 주요 기능성(식약처인증):체지방 감소 푸닉산+후코잔틴:177mg :1개, 섭취방법:물과 함께 섭취횟수:하루 한 번 1일 총 섭취량:1포 제품용량:14일분 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시)_A:비오틴, 제품타입_A:캡슐 600 500mg x 30캡슐"
B002-03366-00012,"제품타입:분말 섭취방법:물에 섞어서 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:2포 제품용량:15일분 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):판토텐산 :1개, HCA:750mg 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):판토텐산 1일 총 섭취량:2포 제품용량:15일분 제품타입:분말 섭취횟수:하루 두 번 섭취방법:물에 섞어서 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개 30포"
B002-03366-00013,"제품타입:정 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:8정 제품용량:14일분 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):비타민C 키토산:3g :1개, 제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:6정 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):비타민C 키토산:3g :1개 112정"
B002-02753-00001,제품타입:캡슐 섭취방법:물과 함께 섭취횟수:하루 한 번 1일 총 섭취량:1캡슐 제품용량:1개월분 주요 기능성(식약처인증):체지방 감소 :1개 30캡슐
B002-01234-00001,"제품유형:일반식품 종류:어류 섭취대상:성인남녀 제품타입:정 섭취횟수:하루 한 번 1일 총 섭취량:3정 섭취방법:물과 함께, 제품유형:일반식품 종류:어류 섭취대상:성인남녀 제품타입:구미/젤리 제품용량:1개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:씹어서 25ml x 14병"
B002-00592-00001,"주요 기능성(식약처인증):장건강 영양소 원료명(식약처고시):식이섬유 제품타입:환 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:2포 제품용량:15일분 식이섬유:7.2g :1개, 주요 기능성(식약처인증):장건강 영양소 원료명(식약처고시):식이섬유 제품타입:환 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:2포 제품용량:10일분 식이섬유:3.9g :1개, 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):식이섬유 제품타입:환 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:2포 제품용량:15일분 식이섬유:5.5g :1개, 생균:10억 CFU 1일 총 섭취량:1포 제품용량:1개월분 제품타입:분말 섭취횟수:하루 한 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):장건강 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):셀레늄(셀렌) :1개 5g x 30포"
B002-00592-00002,"주요 기능성(식약처인증):장건강 영양소 원료명(식약처고시):식이섬유 제품타입:환 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:2포 제품용량:10일분 식이섬유:3.9g :1개, 주요 기능성(식약처인증):장건강 영양소 원료명(식약처고시):식이섬유 제품타입:환 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:2포 제품용량:15일분 식이섬유:7.2g :1개, 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):식이섬유 제품타입:환 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:2포 제품용량:15일분 식이섬유:5.5g :1개, 생균:10억 CFU 1일 총 섭취량:1포 제품용량:1개월분 제품타입:분말 섭취횟수:하루 한 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):장건강 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):셀레늄(셀렌) :1개 3g x 20 포"
B002-03014-00001,HCA:750mg 1일 총 섭취량:1포 제품용량:14일분 제품타입:액상 섭취횟수:하루 두 번 섭취방법:물에 섞어서 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개 3500mg x 28포
B002-00328-00001,제품유형:일반식품 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):비오틴 영양소 원료명(식약처고시):단백질 콜라겐 펩타이드:2200mg 종류:어류 분자량:300Da 섭취대상:성인여성 제품타입:분말 제품용량:1개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:바로 음용 :1개 300달톤 저분자 피쉬콜라겐 펩타이드 먹는 어린 엘라스틴 히알루론산 3.5g X 30포
B002-00328-00002,"제품유형:일반식품 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):비오틴 영양소 원료명(식약처고시):단백질 콜라겐 펩타이드:2200mg 종류:어류 분자량:300Da 섭취대상:성인여성 제품타입:분말 제품용량:1개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:바로 음용 :1개, 제품유형:일반식품 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):비오틴 영양소 원료명(식약처고시):단백질 콜라겐 펩타이드:3000mg 종류:어류 분자량:300Da 섭취대상:성인남녀 제품타입:분말 제품용량:1개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:물과 함께 :1개 3000 5g x 30포"
B002-01783-00001,제품유형:일반식품 주요 기능성(식약처인증):해당 없음 영양소 원료명(식약처고시):해당 없음 콜라겐 펩타이드:1000mg 종류:어류 분자량:300Da 섭취대상:성인남녀 제품타입:분말 제품용량:3개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:바로 음용 :1개 300 2g x 90포
B002-03630-00001,HCA:750mg 1일 총 섭취량:1포 제품용량:14일분 제품타입:분말 섭취횟수:하루 한 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):장건강 :1개 3.5g x 14포
